,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,record,evaluation,gold_standard
0,0.31140485705502613,0.9703065134099617,0.471491738422155,0.1,0.33298595903868494,0.8755467757866516,0.48247726258020185,gold_standard_E1_01-02-0001,record,E1
1,0.30986781432523824,0.9655172413793104,0.46916453339539216,0.2,0.33298595903868494,0.8755467757866516,0.48247726258020185,gold_standard_E1_01-02-0001,record,E1
2,0.3052566861358746,0.9511494252873564,0.46218291831510355,0.3,0.33298595903868494,0.8755467757866516,0.48247726258020185,gold_standard_E1_01-02-0001,record,E1
3,0.29787888103289273,0.9281609195402298,0.45101233418664183,0.4,0.33298595903868494,0.8755467757866516,0.48247726258020185,gold_standard_E1_01-02-0001,record,E1
4,0.27451583154011683,0.8553639846743295,0.4156388177798464,0.5,0.33298595903868494,0.8755467757866516,0.48247726258020185,gold_standard_E1_01-02-0001,record,E1
5,0.2241008300030741,0.6982758620689655,0.3393064929020247,0.6,0.33298595903868494,0.8755467757866516,0.48247726258020185,gold_standard_E1_01-02-0001,record,E1
6,0.15893021826006762,0.4952107279693487,0.2406329997672795,0.7,0.33298595903868494,0.8755467757866516,0.48247726258020185,gold_standard_E1_01-02-0001,record,E1
7,0.0823854903166308,0.2567049808429119,0.12473818943448918,0.8,0.33298595903868494,0.8755467757866516,0.48247726258020185,gold_standard_E1_01-02-0001,record,E1
8,0.02490009222256379,0.07758620689655173,0.0377007214335583,0.9,0.33298595903868494,0.8755467757866516,0.48247726258020185,gold_standard_E1_01-02-0001,record,E1
0,0.31387300631959075,0.9125109361329834,0.46708463949843265,0.1,0.3351096759081098,0.8201544610243895,0.47580754364667394,gold_standard_E1_01-02-0002,record,E1
1,0.31266927475173034,0.9090113735783028,0.46529332736229284,0.2,0.3351096759081098,0.8201544610243895,0.47580754364667394,gold_standard_E1_01-02-0002,record,E1
2,0.3078543484802889,0.89501312335958,0.45812807881773404,0.3,0.3351096759081098,0.8201544610243895,0.47580754364667394,gold_standard_E1_01-02-0002,record,E1
3,0.29641889858561543,0.8617672790901137,0.44111061352440667,0.4,0.3351096759081098,0.8201544610243895,0.47580754364667394,gold_standard_E1_01-02-0002,record,E1
4,0.2666265422810713,0.7751531058617673,0.39677563815494854,0.5,0.3351096759081098,0.8201544610243895,0.47580754364667394,gold_standard_E1_01-02-0002,record,E1
5,0.21486608486307554,0.6246719160104987,0.3197492163009404,0.6,0.3351096759081098,0.8201544610243895,0.47580754364667394,gold_standard_E1_01-02-0002,record,E1
6,0.14926271441468553,0.4339457567804024,0.22212270488132557,0.7,0.3351096759081098,0.8201544610243895,0.47580754364667394,gold_standard_E1_01-02-0002,record,E1
7,0.07222389407162202,0.2099737532808399,0.10747872816838334,0.8,0.3351096759081098,0.8201544610243895,0.47580754364667394,gold_standard_E1_01-02-0002,record,E1
8,0.014745711706289497,0.04286964129483815,0.021943573667711595,0.9,0.3351096759081098,0.8201544610243895,0.47580754364667394,gold_standard_E1_01-02-0002,record,E1
0,0.10723626852659111,0.8601398601398601,0.19069767441860466,0.1,0.12309624839225397,0.8104867431737238,0.21373113768705782,gold_standard_E1_01-02-0003,record,E1
1,0.10723626852659111,0.8601398601398601,0.19069767441860466,0.2,0.12309624839225397,0.8104867431737238,0.21373113768705782,gold_standard_E1_01-02-0003,record,E1
2,0.10723626852659111,0.8601398601398601,0.19069767441860466,0.3,0.12309624839225397,0.8104867431737238,0.21373113768705782,gold_standard_E1_01-02-0003,record,E1
3,0.10636442894507411,0.8531468531468531,0.18914728682170545,0.4,0.12309624839225397,0.8104867431737238,0.21373113768705782,gold_standard_E1_01-02-0003,record,E1
4,0.0967741935483871,0.7762237762237763,0.17209302325581394,0.5,0.12309624839225397,0.8104867431737238,0.21373113768705782,gold_standard_E1_01-02-0003,record,E1
5,0.08108108108108109,0.6503496503496503,0.14418604651162792,0.6,0.12309624839225397,0.8104867431737238,0.21373113768705782,gold_standard_E1_01-02-0003,record,E1
6,0.05318221447253706,0.42657342657342656,0.09457364341085273,0.7,0.12309624839225397,0.8104867431737238,0.21373113768705782,gold_standard_E1_01-02-0003,record,E1
7,0.03312990409764603,0.26573426573426573,0.05891472868217054,0.8,0.12309624839225397,0.8104867431737238,0.21373113768705782,gold_standard_E1_01-02-0003,record,E1
8,0.006102877070619006,0.04895104895104895,0.010852713178294575,0.9,0.12309624839225397,0.8104867431737238,0.21373113768705782,gold_standard_E1_01-02-0003,record,E1
0,0.1686807653575025,0.9824046920821115,0.2879243661366567,0.1,0.1782207091343397,0.8823548496990737,0.2965444672220527,gold_standard_E1_01-02-0005,record,E1
1,0.1686807653575025,0.9824046920821115,0.2879243661366567,0.2,0.1782207091343397,0.8823548496990737,0.2965444672220527,gold_standard_E1_01-02-0005,record,E1
2,0.16717019133937563,0.9736070381231672,0.2853459389772239,0.3,0.1782207091343397,0.8823548496990737,0.2965444672220527,gold_standard_E1_01-02-0005,record,E1
3,0.16062437059415913,0.9354838709677419,0.27417275461968205,0.4,0.1782207091343397,0.8823548496990737,0.2965444672220527,gold_standard_E1_01-02-0005,record,E1
4,0.1404833836858006,0.8181818181818182,0.23979372582724537,0.5,0.1782207091343397,0.8823548496990737,0.2965444672220527,gold_standard_E1_01-02-0005,record,E1
5,0.11379657603222558,0.6627565982404692,0.19424151267726686,0.6,0.1782207091343397,0.8823548496990737,0.2965444672220527,gold_standard_E1_01-02-0005,record,E1
6,0.07250755287009064,0.4222873900293255,0.12376450365277182,0.7,0.1782207091343397,0.8823548496990737,0.2965444672220527,gold_standard_E1_01-02-0005,record,E1
7,0.03474320241691843,0.20234604105571846,0.059303824666953164,0.8,0.1782207091343397,0.8823548496990737,0.2965444672220527,gold_standard_E1_01-02-0005,record,E1
