,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,record,evaluation
0,0.6686626746506986,0.8218842001962708,0.7373981950253137,0.1,0.7206383979331242,0.61172049494844,0.6617275267463355,01-02-0010,N2
1,0.6578842315369261,0.8086359175662414,0.7255117763592339,0.2,0.7206383979331242,0.61172049494844,0.6617275267463355,01-02-0010,N2
2,0.6287425149700598,0.7728164867517173,0.6933744221879814,0.3,0.7206383979331242,0.61172049494844,0.6617275267463355,01-02-0010,N2
3,0.5816367265469062,0.7149165848871443,0.6414263702399297,0.4,0.7206383979331242,0.61172049494844,0.6617275267463355,01-02-0010,N2
4,0.4994011976047904,0.6138370951913641,0.5507373981950253,0.5,0.7206383979331242,0.61172049494844,0.6617275267463355,01-02-0010,N2
5,0.39481037924151696,0.48527968596663396,0.43539511336121506,0.6,0.7206383979331242,0.61172049494844,0.6617275267463355,01-02-0010,N2
6,0.2838323353293413,0.3488714425907753,0.3130090248734317,0.7,0.7206383979331242,0.61172049494844,0.6617275267463355,01-02-0010,N2
7,0.14770459081836326,0.1815505397448479,0.16288795949812898,0.8,0.7206383979331242,0.61172049494844,0.6617275267463355,01-02-0010,N2
8,0.04311377245508982,0.05299313052011776,0.047545674664318735,0.9,0.7206383979331242,0.61172049494844,0.6617275267463355,01-02-0010,N2
0,0.621656050955414,0.9070631970260223,0.7377173091458804,0.1,0.7106181827762458,0.6544489490552112,0.6813779513883406,01-02-0011,N2
1,0.6148619957537155,0.8971499380421314,0.7296548248929201,0.2,0.7106181827762458,0.6544489490552112,0.6813779513883406,01-02-0011,N2
2,0.5902335456475584,0.8612143742255266,0.7004283194759384,0.3,0.7106181827762458,0.6544489490552112,0.6813779513883406,01-02-0011,N2
3,0.538004246284501,0.7850061957868649,0.6384479717813051,0.4,0.7106181827762458,0.6544489490552112,0.6813779513883406,01-02-0011,N2
4,0.4653927813163482,0.6790582403965304,0.5522801713277903,0.5,0.7106181827762458,0.6544489490552112,0.6813779513883406,01-02-0011,N2
5,0.36178343949044584,0.5278810408921933,0.42932728647014357,0.6,0.7106181827762458,0.6544489490552112,0.6813779513883406,01-02-0011,N2
6,0.24883227176220807,0.3630731102850062,0.29528848576467626,0.7,0.7106181827762458,0.6544489490552112,0.6813779513883406,01-02-0011,N2
7,0.1346072186836518,0.19640644361833953,0.15973796926177877,0.8,0.7106181827762458,0.6544489490552112,0.6813779513883406,01-02-0011,N2
8,0.03991507430997877,0.058240396530359353,0.0473670949861426,0.9,0.7106181827762458,0.6544489490552112,0.6813779513883406,01-02-0011,N2
0,0.31319290465631927,0.894695170229612,0.4639704372818723,0.1,0.39490704777496566,0.7545431331659361,0.518464229382296,01-02-0012,N2
1,0.3098669623059867,0.885193982581156,0.4590433175939232,0.2,0.39490704777496566,0.7545431331659361,0.518464229382296,01-02-0012,N2
2,0.2976718403547672,0.850356294536817,0.44097721207144325,0.3,0.39490704777496566,0.7545431331659361,0.518464229382296,01-02-0012,N2
3,0.27522172949002216,0.7862232779097387,0.40771915417778687,0.4,0.39490704777496566,0.7545431331659361,0.518464229382296,01-02-0012,N2
4,0.24390243902439024,0.6967537608867775,0.36132211044959966,0.5,0.39490704777496566,0.7545431331659361,0.518464229382296,01-02-0012,N2
5,0.2056541019955654,0.5874901029295329,0.30466023403818515,0.6,0.39490704777496566,0.7545431331659361,0.518464229382296,01-02-0012,N2
6,0.14523281596452328,0.41488519398258117,0.21515089304044344,0.7,0.39490704777496566,0.7545431331659361,0.518464229382296,01-02-0012,N2
7,0.0856430155210643,0.24465558194774348,0.12687333196468897,0.8,0.39490704777496566,0.7545431331659361,0.518464229382296,01-02-0012,N2
8,0.025776053215077605,0.07363420427553444,0.038185177581605424,0.9,0.39490704777496566,0.7545431331659361,0.518464229382296,01-02-0012,N2
0,0.3850210970464135,0.9605263157894737,0.549698795180723,0.1,0.5134800300907938,0.7211636531008259,0.599854256472354,01-02-0013,N2
1,0.3813291139240506,0.9513157894736842,0.5444277108433735,0.2,0.5134800300907938,0.7211636531008259,0.599854256472354,01-02-0013,N2
2,0.3647151898734177,0.9098684210526315,0.5207078313253012,0.3,0.5134800300907938,0.7211636531008259,0.599854256472354,01-02-0013,N2
3,0.33095991561181437,0.8256578947368421,0.47251506024096396,0.4,0.5134800300907938,0.7211636531008259,0.599854256472354,01-02-0013,N2
4,0.2882383966244726,0.719078947368421,0.41152108433734935,0.5,0.5134800300907938,0.7211636531008259,0.599854256472354,01-02-0013,N2
5,0.22389240506329114,0.5585526315789474,0.31965361445783136,0.6,0.5134800300907938,0.7211636531008259,0.599854256472354,01-02-0013,N2
6,0.1516350210970464,0.3782894736842105,0.21649096385542166,0.7,0.5134800300907938,0.7211636531008259,0.599854256472354,01-02-0013,N2
7,0.07885021097046413,0.19671052631578947,0.11257530120481925,0.8,0.5134800300907938,0.7211636531008259,0.599854256472354,01-02-0013,N2
8,0.02531645569620253,0.06315789473684211,0.03614457831325301,0.9,0.5134800300907938,0.7211636531008259,0.599854256472354,01-02-0013,N2
0,0.34123016735492284,0.9246171967020024,0.49849182409906334,0.1,0.42474214004560096,0.7746762131571928,0.5486619939409507,01-02-0014,N2
1,0.3392740708541621,0.9193168433451119,0.4956342276551834,0.2,0.42474214004560096,0.7746762131571928,0.5486619939409507,01-02-0014,N2
2,0.3292762442947185,0.892226148409894,0.48102873471979685,0.3,0.42474214004560096,0.7746762131571928,0.5486619939409507,01-02-0014,N2
3,0.3034123016735492,0.8221436984687868,0.4432449595173837,0.4,0.42474214004560096,0.7746762131571928,0.5486619939409507,01-02-0014,N2
4,0.26841990871549665,0.7273262661955241,0.3921257342435307,0.5,0.42474214004560096,0.7746762131571928,0.5486619939409507,01-02-0014,N2
5,0.21864811997391873,0.5924617196702002,0.3194157802825845,0.6,0.42474214004560096,0.7746762131571928,0.5486619939409507,01-02-0014,N2
6,0.16452945011953923,0.4458186101295642,0.24035561200190508,0.7,0.42474214004560096,0.7746762131571928,0.5486619939409507,01-02-0014,N2
7,0.09106715931319279,0.24676089517078917,0.13303698999841246,0.8,0.42474214004560096,0.7746762131571928,0.5486619939409507,01-02-0014,N2
8,0.028037383177570093,0.07597173144876325,0.04095888236227972,0.9,0.42474214004560096,0.7746762131571928,0.5486619939409507,01-02-0014,N2
0,0.569847127042699,0.8654923939151321,0.6872218690400509,0.1,0.6591946572623999,0.5343385044448318,0.5902359458463299,01-02-0017,N2
1,0.5587770163415919,0.8486789431545236,0.6738715829624919,0.2,0.6591946572623999,0.5343385044448318,0.5902359458463299,01-02-0017,N2
2,0.5160780179230364,0.7838270616493195,0.6223776223776224,0.3,0.6591946572623999,0.5343385044448318,0.5902359458463299,01-02-0017,N2
3,0.437532946758039,0.6645316253002402,0.5276541640178003,0.4,0.6591946572623999,0.5343385044448318,0.5902359458463299,01-02-0017,N2
4,0.35213494992092775,0.5348278622898318,0.424666242848061,0.5,0.6591946572623999,0.5343385044448318,0.5902359458463299,01-02-0017,N2
5,0.2519768054823405,0.38270616493194554,0.3038779402415766,0.6,0.6591946572623999,0.5343385044448318,0.5902359458463299,01-02-0017,N2
6,0.1665788086452293,0.2530024019215372,0.20089001907183726,0.7,0.6591946572623999,0.5343385044448318,0.5902359458463299,01-02-0017,N2
7,0.08170795993674222,0.12409927942353884,0.09853782581055308,0.8,0.6591946572623999,0.5343385044448318,0.5902359458463299,01-02-0017,N2
8,0.024248813916710597,0.03682946357085669,0.02924348378893834,0.9,0.6591946572623999,0.5343385044448318,0.5902359458463299,01-02-0017,N2
0,0.38394847659152836,0.8928571428571429,0.5369825047635545,0.1,0.4157165509627487,0.7780308152154575,0.5418906817438314,01-02-0018,N2
1,0.38072826356205103,0.8853686635944701,0.5324787805300537,0.2,0.4157165509627487,0.7780308152154575,0.5418906817438314,01-02-0018,N2
2,0.37354471141937085,0.868663594470046,0.5224320110860905,0.3,0.4157165509627487,0.7780308152154575,0.5418906817438314,01-02-0018,N2
3,0.3559573941045331,0.8277649769585254,0.49783474796466304,0.4,0.4157165509627487,0.7780308152154575,0.5418906817438314,01-02-0018,N2
4,0.31607629427792916,0.7350230414746544,0.4420578555343842,0.5,0.4157165509627487,0.7780308152154575,0.5418906817438314,01-02-0018,N2
5,0.2595987119147882,0.6036866359447005,0.36306946128529366,0.6,0.4157165509627487,0.7780308152154575,0.5418906817438314,01-02-0018,N2
6,0.17636859053752788,0.41013824884792627,0.2466655118655812,0.7,0.4157165509627487,0.7780308152154575,0.5418906817438314,01-02-0018,N2
7,0.0946247213277186,0.22004608294930875,0.13234020439979216,0.8,0.4157165509627487,0.7780308152154575,0.5418906817438314,01-02-0018,N2
8,0.03121129551647263,0.07258064516129033,0.04365148103239217,0.9,0.4157165509627487,0.7780308152154575,0.5418906817438314,01-02-0018,N2
0,0.605624591236102,0.8349864743011722,0.7020470053070507,0.1,0.6417865029463893,0.5523139153422302,0.5936981694791461,01-02-0019,N2
1,0.5977763243950295,0.824165915238954,0.6929492039423807,0.2,0.6417865029463893,0.5523139153422302,0.5936981694791461,01-02-0019,N2
2,0.5650752125572269,0.7790802524797115,0.6550416982562547,0.3,0.6417865029463893,0.5523139153422302,0.5936981694791461,01-02-0019,N2
3,0.4950948332243296,0.6825969341749324,0.5739196360879455,0.4,0.6417865029463893,0.5523139153422302,0.5936981694791461,01-02-0019,N2
4,0.40876389797253104,0.563570784490532,0.4738438210765732,0.5,0.6417865029463893,0.5523139153422302,0.5936981694791461,01-02-0019,N2
5,0.3106605624591236,0.42831379621280435,0.3601213040181956,0.6,0.6417865029463893,0.5523139153422302,0.5936981694791461,01-02-0019,N2
6,0.2053629823413996,0.28313796212804326,0.23805913570887036,0.7,0.6417865029463893,0.5523139153422302,0.5936981694791461,01-02-0019,N2
7,0.10202746893394375,0.1406672678088368,0.11827141774071268,0.8,0.6417865029463893,0.5523139153422302,0.5936981694791461,01-02-0019,N2
8,0.030085022890778287,0.04147880973850315,0.034874905231235785,0.9,0.6417865029463893,0.5523139153422302,0.5936981694791461,01-02-0019,N2
