,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,lam3,threshold,record,evaluation
0,0.7703788748564868,0.5870516185476815,0.6663356504468718,0.1,0.7261870084474221,0.5512324952911309,0.6267289258429896,30,1.5,01-02-0002,record
0,0.12876712328767123,0.32867132867132864,0.18503937007874013,0.1,0.11512715719154368,0.33552293142337064,0.17143145976546706,30,1.5,01-02-0003,record
0,0.6202651515151515,0.6273946360153256,0.6238095238095238,0.1,0.5711004532054385,0.5907406901699482,0.5807545683961842,30,1.5,01-02-0001,record
0,0.6465116279069767,0.549407114624506,0.594017094017094,0.1,0.6021077658139588,0.4900822447992259,0.540349797404729,30,1.5,01-02-0004,record
1,0.7703788748564868,0.5870516185476815,0.6663356504468718,0.2,0.7261870084474221,0.5512324952911309,0.6267289258429896,30,1.5,01-02-0002,record
1,0.12876712328767123,0.32867132867132864,0.18503937007874013,0.2,0.11512715719154368,0.33552293142337064,0.17143145976546706,30,1.5,01-02-0003,record
1,0.6202651515151515,0.6273946360153256,0.6238095238095238,0.2,0.5711004532054385,0.5907406901699482,0.5807545683961842,30,1.5,01-02-0001,record
1,0.641860465116279,0.5454545454545454,0.5897435897435896,0.2,0.6021077658139588,0.4900822447992259,0.540349797404729,30,1.5,01-02-0004,record
2,0.7703788748564868,0.5870516185476815,0.6663356504468718,0.3,0.7261870084474221,0.5512324952911309,0.6267289258429896,30,1.5,01-02-0002,record
2,0.12876712328767123,0.32867132867132864,0.18503937007874013,0.3,0.11512715719154368,0.33552293142337064,0.17143145976546706,30,1.5,01-02-0003,record
2,0.6202651515151515,0.6273946360153256,0.6238095238095238,0.3,0.5711004532054385,0.5907406901699482,0.5807545683961842,30,1.5,01-02-0001,record
2,0.6372093023255814,0.541501976284585,0.5854700854700854,0.3,0.6021077658139588,0.4900822447992259,0.540349797404729,30,1.5,01-02-0004,record
3,0.7962154294032023,0.4785651793525809,0.5978142076502732,0.4,0.7629213405393436,0.45143313405945457,0.5672280689117611,30,2.0,01-02-0002,record
3,0.12237762237762238,0.24475524475524477,0.1631701631701632,0.4,0.11139652677279305,0.2436785247912627,0.1528969224466487,30,2.0,01-02-0003,record
3,0.6245733788395904,0.5258620689655172,0.5709828393135726,0.4,0.5807466727433522,0.48716968422585727,0.5298583008477198,30,2.0,01-02-0001,record
3,0.7315436241610739,0.4308300395256917,0.5422885572139303,0.4,0.7004821076933524,0.38390830263108927,0.4959853839126881,30,2.0,01-02-0004,record
4,0.7860262008733624,0.47244094488188976,0.5901639344262295,0.5,0.7629213405393436,0.45143313405945457,0.5672280689117611,30,2.0,01-02-0002,record
4,0.12237762237762238,0.24475524475524477,0.1631701631701632,0.5,0.11139652677279305,0.2436785247912627,0.1528969224466487,30,2.0,01-02-0003,record
4,0.6166097838452788,0.5191570881226054,0.5637025481019241,0.5,0.5807466727433522,0.48716968422585727,0.5298583008477198,30,2.0,01-02-0001,record
4,0.697986577181208,0.41106719367588934,0.5174129353233832,0.5,0.7004821076933524,0.38390830263108927,0.4959853839126881,30,2.0,01-02-0004,record
5,0.7467248908296943,0.44881889763779526,0.5606557377049181,0.6,0.7629213405393436,0.45143313405945457,0.5672280689117611,30,2.0,01-02-0002,record
5,0.11188811188811189,0.22377622377622378,0.14918414918414918,0.6,0.11139652677279305,0.2436785247912627,0.1528969224466487,30,2.0,01-02-0003,record
5,0.5767918088737202,0.48563218390804597,0.5273010920436818,0.6,0.5807466727433522,0.48716968422585727,0.5298583008477198,30,2.0,01-02-0001,record
5,0.610738255033557,0.35968379446640314,0.45273631840796014,0.6,0.7004821076933524,0.38390830263108927,0.4959853839126881,30,2.0,01-02-0004,record
6,0.634902411021814,0.48381452318460194,0.5491559086395233,0.7,0.7261870084474221,0.5512324952911309,0.6267289258429896,30,1.5,01-02-0002,record
6,0.11232876712328767,0.2867132867132867,0.16141732283464566,0.7,0.11512715719154368,0.33552293142337064,0.17143145976546706,30,1.5,01-02-0003,record
6,0.5303030303030303,0.5363984674329502,0.5333333333333333,0.7,0.5711004532054385,0.5907406901699482,0.5807545683961842,30,1.5,01-02-0001,record
6,0.4697674418604651,0.39920948616600793,0.43162393162393164,0.7,0.6021077658139588,0.4900822447992259,0.540349797404729,30,1.5,01-02-0004,record
7,0.4454649827784156,0.3394575678040245,0.38530287984111217,0.8,0.7261870084474221,0.5512324952911309,0.6267289258429896,30,1.5,01-02-0002,record
7,0.07671232876712329,0.1958041958041958,0.11023622047244096,0.8,0.11512715719154368,0.33552293142337064,0.17143145976546706,30,1.5,01-02-0003,record
7,0.375,0.3793103448275862,0.3771428571428571,0.8,0.5711004532054385,0.5907406901699482,0.5807545683961842,30,1.5,01-02-0001,record
7,0.26976744186046514,0.22924901185770752,0.24786324786324787,0.8,0.6021077658139588,0.4900822447992259,0.540349797404729,30,1.5,01-02-0004,record
8,0.16448326055312956,0.09886264216972879,0.12349726775956285,0.9,0.7629213405393436,0.45143313405945457,0.5672280689117611,30,2.0,01-02-0002,record
8,0.027972027972027972,0.055944055944055944,0.037296037296037296,0.9,0.11139652677279305,0.2436785247912627,0.1528969224466487,30,2.0,01-02-0003,record
8,0.1422070534698521,0.11973180076628352,0.13000520020800835,0.9,0.5807466727433522,0.48716968422585727,0.5298583008477198,30,2.0,01-02-0001,record
8,0.08053691275167785,0.04743083003952569,0.059701492537313425,0.9,0.7004821076933524,0.38390830263108927,0.4959853839126881,30,2.0,01-02-0004,record
0,0.3878787878787879,0.8311688311688312,0.5289256198347106,0.1,0.3734214341844584,0.8083714689603948,0.51085639876446,30,1.5,01-02-0008,record
0,0.3944723618090452,0.4604105571847507,0.4248985115020298,0.1,0.3539371846686214,0.43472195185257284,0.39019205288370534,30,1.5,01-02-0005,record
0,0.17403314917127072,0.42,0.24609374999999997,0.1,0.15340955940961437,0.3818237789027227,0.21887806121448597,30,1.5,01-02-0006,record
0,0.5301204819277109,0.7719298245614035,0.6285714285714286,0.1,0.48080157464056034,0.6926239732862516,0.567594079706541,30,1.5,01-02-0007,record
1,0.3878787878787879,0.8311688311688312,0.5289256198347106,0.2,0.3734214341844584,0.8083714689603948,0.51085639876446,30,1.5,01-02-0008,record
1,0.3944723618090452,0.4604105571847507,0.4248985115020298,0.2,0.3539371846686214,0.43472195185257284,0.39019205288370534,30,1.5,01-02-0005,record
1,0.17403314917127072,0.42,0.24609374999999997,0.2,0.15340955940961437,0.3818237789027227,0.21887806121448597,30,1.5,01-02-0006,record
1,0.5301204819277109,0.7719298245614035,0.6285714285714286,0.2,0.48080157464056034,0.6926239732862516,0.567594079706541,30,1.5,01-02-0007,record
2,0.38666666666666666,0.8285714285714286,0.5272727272727272,0.3,0.3734214341844584,0.8083714689603948,0.51085639876446,30,1.5,01-02-0008,record
2,0.3944723618090452,0.4604105571847507,0.4248985115020298,0.3,0.3539371846686214,0.43472195185257284,0.39019205288370534,30,1.5,01-02-0005,record
2,0.17403314917127072,0.42,0.24609374999999997,0.3,0.15340955940961437,0.3818237789027227,0.21887806121448597,30,1.5,01-02-0006,record
2,0.5240963855421686,0.7631578947368421,0.6214285714285714,0.3,0.48080157464056034,0.6926239732862516,0.567594079706541,30,1.5,01-02-0007,record
3,0.3781818181818182,0.8103896103896104,0.515702479338843,0.4,0.3734214341844584,0.8083714689603948,0.51085639876446,30,1.5,01-02-0008,record
3,0.3944723618090452,0.4604105571847507,0.4248985115020298,0.4,0.3539371846686214,0.43472195185257284,0.39019205288370534,30,1.5,01-02-0005,record
3,0.17403314917127072,0.42,0.24609374999999997,0.4,0.15340955940961437,0.3818237789027227,0.21887806121448597,30,1.5,01-02-0006,record
3,0.5128012048192772,0.7467105263157895,0.6080357142857143,0.4,0.48080157464056034,0.6926239732862516,0.567594079706541,30,1.5,01-02-0007,record
4,0.37212121212121213,0.7974025974025974,0.5074380165289256,0.5,0.3734214341844584,0.8083714689603948,0.51085639876446,30,1.5,01-02-0008,record
4,0.3944723618090452,0.4604105571847507,0.4248985115020298,0.5,0.3539371846686214,0.43472195185257284,0.39019205288370534,30,1.5,01-02-0005,record
4,0.1712707182320442,0.41333333333333333,0.2421875,0.5,0.15340955940961437,0.3818237789027227,0.21887806121448597,30,1.5,01-02-0006,record
4,0.4879518072289157,0.7105263157894737,0.5785714285714285,0.5,0.48080157464056034,0.6926239732862516,0.567594079706541,30,1.5,01-02-0007,record
5,0.3503030303030303,0.7506493506493507,0.47768595041322315,0.6,0.3734214341844584,0.8083714689603948,0.51085639876446,30,1.5,01-02-0008,record
5,0.3793969849246231,0.44281524926686217,0.40866035182679294,0.6,0.3539371846686214,0.43472195185257284,0.39019205288370534,30,1.5,01-02-0005,record
5,0.1712707182320442,0.41333333333333333,0.2421875,0.6,0.15340955940961437,0.3818237789027227,0.21887806121448597,30,1.5,01-02-0006,record
5,0.43599397590361444,0.6348684210526315,0.5169642857142857,0.6,0.48080157464056034,0.6926239732862516,0.567594079706541,30,1.5,01-02-0007,record
6,0.2993939393939394,0.6415584415584416,0.4082644628099173,0.7,0.3734214341844584,0.8083714689603948,0.51085639876446,30,1.5,01-02-0008,record
6,0.3442211055276382,0.40175953079178883,0.3707713125845737,0.7,0.3539371846686214,0.43472195185257284,0.39019205288370534,30,1.5,01-02-0005,record
6,0.14917127071823205,0.36,0.21093749999999997,0.7,0.15340955940961437,0.3818237789027227,0.21887806121448597,30,1.5,01-02-0006,record
6,0.3433734939759036,0.5,0.40714285714285714,0.7,0.48080157464056034,0.6926239732862516,0.567594079706541,30,1.5,01-02-0007,record
7,0.19393939393939394,0.4155844155844156,0.2644628099173553,0.8,0.3734214341844584,0.8083714689603948,0.51085639876446,30,1.5,01-02-0008,record
